id,name,Manufacturer,expiry_date,quantity,price
870,Gabapentin,Indoco Remedies,2025-04-17,16,362.39
871,Multivitamin,Emcure,2026-08-23,117,1776.3
872,Furosemide,Sun Pharma,2027-04-08,184,632.67
873,Vildagliptin,Alembic,2028-11-21,164,1752.81
874,Cefixime,Bayer,2028-02-15,10,1756.78
875,Doxycycline,Novartis,2023-06-10,142,780.92
876,Promethazine,Sun Pharma,2025-02-16,74,884.71
877,Sildenafil,Biocon,2028-03-04,42,850.7
878,Vildagliptin,Takeda,2028-10-18,36,932.52
879,Rivastigmine,RPG Life Sciences,2028-08-12,28,367.75
880,Oxymetazoline,Takeda,2024-07-08,100,832.98
881,Cetirizine-D 10mg injection,Bayer,2024-01-05,64,654.91
882,Donepezil,Aurobindo Pharma,2024-05-21,23,237.19
883,Cetirizine-D,Dr. Reddy's,2028-11-15,181,774.33
884,Clotrimazole,Aurobindo Pharma,2027-04-01,140,767.41
885,Propranolol 10ml syrup,Aurobindo Pharma,2024-08-15,45,1540.62
886,Glibenclamide,Biocon,2028-01-02,73,1256.64
887,Loratadine,Zydus Cadila,2023-01-15,159,1533.14
888,Ibuprofen,Emcure,2023-01-24,155,1766.58
889,Fluconazole 250mcg drop,Bayer,2027-08-07,113,168.02
890,Linagliptin 2mg cream,Hetero Labs,2025-04-30,12,377.83
891,Amlodipine,Sun Pharma,2024-08-18,8,1337.32
892,Sitagliptin 100mg tablet,Glenmark,2027-09-04,45,331.06
893,Insulin NPH,Takeda,2024-12-27,116,1501.18
894,Citalopram,Dr. Reddy's,2026-05-10,82,743.45
895,Aspirin,Indoco Remedies,2027-10-17,140,139.2
896,Lorazepam 125mg cream,Abbott,2028-11-28,105,1054.05
897,Lamotrigine 50mg capsule,Alembic,2028-12-06,22,972.49
898,Valproate,Takeda,2026-03-22,109,1221.6
899,Metoclopramide 1mg gel,Lupin,2028-07-26,133,1461.08
900,Bacitracin,Aurobindo Pharma,2025-08-11,181,588.07
901,Prednisolone 50mg drop,Merck,2024-04-28,188,1697.66
902,Vildagliptin,Sanofi,2023-07-06,85,705.8
903,Niacin 250mcg injection,Takeda,2026-02-27,65,1582.49
904,Tadalafil 2mg gel,Indoco Remedies,2023-01-26,29,1374.81
905,Alprazolam 1mg tablet,Aurobindo Pharma,2025-03-05,84,1669.31
906,Topiramate,Emcure,2023-05-26,165,280.15
907,Calcium,Wockhardt,2026-10-04,118,1570.14
908,Ramipril,Sun Pharma,2028-11-04,76,1134.24
909,Topiramate 2mg tablet,Zydus Cadila,2026-09-20,90,141.76
910,Calcium 50mg gel,Novartis,2028-12-28,42,1146.25
911,Clopidogrel 100mg cream,Takeda,2026-07-12,181,72.94
912,Ramipril 500mg gel,Bayer,2026-05-24,55,1054.95
913,Diclofenac 50mg injection,Dr. Reddy's,2027-12-23,129,59.62
914,Mupirocin,Lupin,2025-02-18,87,1848.04
915,Cyclophosphamide,Biocon,2026-09-02,36,1541.27
916,Pantoprazole,MacLeods,2024-06-27,52,1451.9
917,Loperamide 2mg capsule,Cipla,2026-06-27,11,1377.23
918,Linagliptin,Abbott,2028-03-27,11,215.17
919,Propranolol,Biocon,2023-04-03,147,1519.4
920,Niacin,Abbott,2025-04-01,49,580.27
921,Erythromycin 10mg capsule,Mankind Pharma,2024-09-03,40,554.54
922,Ibuprofen,Wockhardt,2028-10-06,26,421.09
923,Sertraline,Mankind Pharma,2024-08-02,180,1609.97
924,Dextromethorphan 100mg cream,Hetero Labs,2026-10-19,138,892.86
925,Levocetirizine 250mcg tablet,Glenmark,2027-04-21,13,181.38
926,Warfarin 1mg drop,Hetero Labs,2026-12-27,79,671.34
927,Hydrocortisone,Galderma,2028-12-25,20,1947.63
928,Ondansetron,Alembic,2024-06-23,23,1627.57
929,Lamotrigine,Bayer,2026-06-25,175,1292.39
930,Propranolol,Torrent Pharma,2025-07-05,36,1723.58
931,Vildagliptin 10ml suspension,Aurobindo Pharma,2026-09-15,83,912.03
932,Azithromycin 100mg gel,Emcure,2028-03-04,43,571.69
933,Sertraline,Lupin,2028-09-11,26,817.32
934,Methotrexate,Abbott,2023-10-18,77,1070.16
935,Enalapril,Torrent Pharma,2025-09-25,140,326.45
936,Mupirocin 10ml injection,Takeda,2027-11-01,200,1960.61
937,Sodium Bicarbonate,Wockhardt,2025-08-25,44,1328.6
938,Atorvastatin,Takeda,2028-06-16,29,1188.4
939,Orlistat 100mg drop,Aurobindo Pharma,2026-06-15,103,148.52
940,Ranitidine,Hetero Labs,2027-04-02,83,993.65
941,Pregabalin 500mg syrup,Alembic,2023-01-01,193,301.98
942,Calcium,Biocon,2027-05-17,157,1160.08
943,Hydrocortisone 10ml cream,Alembic,2026-06-01,111,1438.4
944,Sertraline,Alembic,2023-02-03,156,1972.98
945,Enalapril,Biocon,2023-09-13,94,1803.14
946,Glibenclamide 2mg gel,Glenmark,2026-03-01,7,478.13
947,Lamotrigine,Merck,2026-07-27,182,771.75
948,Aspirin,Zydus Cadila,2024-12-11,121,286.75
949,Gaviscon 10ml suspension,Lupin,2026-03-27,171,259.84
950,Ibuprofen 50mg syrup,RPG Life Sciences,2028-06-16,168,879.1
951,Vitamin C 250mcg suspension,Bayer,2027-10-10,159,367.8
952,Clotrimazole,Bayer,2027-04-25,90,459.22
953,Furosemide,Alembic,2028-08-02,187,481.13
954,Ketoconazole 2mg gel,Sun Pharma,2023-06-05,145,971.7
955,Escitalopram 10mg capsule,Lupin,2028-11-26,192,1559.95
956,Orlistat,MacLeods,2023-12-29,62,950.18
957,Tacrolimus,Galderma,2023-11-16,175,1271.04
958,Oxymetazoline 50mg gel,Wockhardt,2023-02-14,120,913.53
959,Lorazepam,Abbott,2027-09-21,90,1921.56
960,Levothyroxine 50mg cream,RPG Life Sciences,2025-12-02,15,1262.31
961,Oxymetazoline 50mg cream,RPG Life Sciences,2023-04-22,73,974.67
962,Levocetirizine,Mankind Pharma,2025-10-29,33,1235.44
963,Insulin Regular,Cipla,2024-04-01,154,357.48
964,Insulin Glargine,Galderma,2028-01-04,94,1617.6
965,Cefuroxime,Torrent Pharma,2028-06-09,46,1600.75
966,Cefixime 100mg syrup,Hetero Labs,2024-09-23,126,1507.99
967,Ramipril,Torrent Pharma,2027-12-08,185,1278.77
968,Salbutamol,Pfizer,2023-08-11,164,536.15
969,Cetirizine 10mg suspension,Emcure,2026-05-19,121,1494.84
970,Ondansetron,Torrent Pharma,2027-04-05,174,1414.16
971,Lorazepam 2mg suspension,Cipla,2026-03-28,114,770.19
972,Metoclopramide,Galderma,2023-06-18,24,1836.25
973,Niacin 20mg cream,Abbott,2026-01-12,68,1606.61
974,Clarithromycin,Novartis,2028-03-03,197,1353.83
975,Fluconazole,Alembic,2025-03-09,133,681.44
976,Valproate,Abbott,2023-02-13,172,26.87
977,Losartan 100mg capsule,Galderma,2028-01-01,89,446.64
978,Insulin NPH 50mg tablet,Hetero Labs,2024-01-12,14,1877.63
979,Pregabalin,Zydus Cadila,2024-05-13,181,1916.01
980,Omeprazole,Lupin,2027-03-20,168,1530.08
981,Rivastigmine,Aurobindo Pharma,2024-03-30,178,376.68
982,Levothyroxine,Dr. Reddy's,2028-02-01,70,1541.02
983,Valproate,Indoco Remedies,2026-08-17,65,332.31
984,Atorvastatin 50mg suspension,Novartis,2026-09-24,15,523.89
985,Cefuroxime 100mg drop,Zydus Cadila,2027-05-28,45,1294.51
986,Ranitidine 20mg injection,Hetero Labs,2024-03-11,113,1433.65
987,Ranitidine 100mg cream,Indoco Remedies,2028-01-01,4,1794.06
988,Calcium,Cipla,2023-06-04,170,787.06
989,Calcium,Novartis,2023-01-16,131,1418.14
990,Propranolol,Sanofi,2027-07-13,186,1564.06
991,Losartan,Cipla,2027-04-24,176,1637.77
992,Mupirocin 2mg gel,Abbott,2026-05-25,102,119.84
993,Rivastigmine 2mg gel,Dr. Reddy's,2028-02-26,194,1535.35
994,Rivastigmine 2mg tablet,Novartis,2025-02-21,76,1394.81
995,Ranitidine,Pfizer,2028-06-15,21,1771.58
996,Multivitamin,Lupin,2023-05-27,49,60.48
997,Insulin Glargine 20mg capsule,Wockhardt,2026-06-14,127,1072.54
998,Cetirizine-D,Cipla,2023-06-01,86,121.55
999,Azathioprine 100mg injection,Merck,2028-11-12,117,1880.78
1000,Erythromycin 1mg injection,Dr. Reddy's,2023-06-01,188,291.77
1001,doloo,cipla,2026-12-04,0,96
1002,dolo,cipla,2026-12-12,0,46
